id,task_type,title,status,depends_on,task_dir,acceptance_criteria,validation_command,notes
1,single-full,"Runtime identity and manifest",DONE,,tasks/01-runtime-identity,"新增 MDBX3 runtime manifest 和 ABI profile，旧 FFI 测试保持通过","cargo test -p mdbx-ffi","提交 d6076b0 已推送"
2,single-full,"ABI snapshot and compatibility tests",DONE,1,tasks/02-abi-compatibility,"旧 bindings、导出符号、MDBX1/MDBX2 fixture 和混合同步测试存在","cargo test --workspace --no-fail-fast","ABI baseline 535 symbols/237 checksums；提交 d602c2f 已推送"
3,single-full,"Production build profile and size instrumentation",DONE,1,tasks/03-build-profile,"三 ABI release profile、size report 和 capability profile 可重复生成","cargo check --workspace --all-targets","三 ABI 535 个冻结符号通过；raw -8.94%；deflate -3.49%"
4,single-full,"Vault runtime boundary and read/write model",DONE,2;3,tasks/04-runtime-boundary,"storage-owned queries、single writer 和 reader generation 通过并发回归","cargo test -p mdbx-storage --no-default-features --features core","提交 ac7ebd6 已推送；workspace tests、clippy 与 ABI verifier 已通过"
5,single-full,"Incremental bootstrap and history lifecycle",DONE,4,tasks/05-sync-lifecycle,"checkpoint、分段 bootstrap、resume 和保留规则保持 MDBX2 peer 回退","cargo test -p mdbx-sync --all-features","提交 578eec0 已推送；空 checkpoint bootstrap、resume、完整状态回退均已验证"
6,single-full,"Long operations and structured diagnostics",DONE,4,tasks/06-long-operations,"进度、取消、恢复和结构化错误通过 FFI 兼容测试","cargo test -p mdbx-ffi","提交 22d5a6f 已推送；58 项 FFI 回归、clippy 与 ABI 已通过"
7,single-full,"Release packaging and replacement gate",DONE,2;3;5;6,tasks/07-release-gate,"仅替换 libmdbx_ffi.so 的冻结 Android 应用通过全部验收","git diff --check","提交 c2cfc3e、56bf9a3 已推送；release gate 已验证三 ABI、hash、manifest、ABI 和体积"
8,single-full,"Android ABI split distribution",DONE,7,tasks/08-abi-distribution,"三个单 ABI 薄包与兼容全量包绑定同一 MDBX3 release report","python -B scripts/verify-mdbx3-android-abi-splits.py --root target/mdbx3-android-abi-splits","提交 fa5e8b6 已推送；单设备压缩下载约 3.1-3.6 MB；全量包约 10.1 MB"
9,single-full,"Android ELF release hardening",DONE,7;8,tasks/09-elf-release-hardening,"SONAME、NEEDED、page alignment 和唯一 build ID 进入 release gate","python -B scripts/verify-mdbx3-release.py --root target/mdbx3-android-buildid-test","提交 15227a6 已推送；强化 gate 与 ABI split gate 均为 ready"
10,single-full,"Android loader smoke application",DONE,8;9,tasks/10-android-loader-smoke,"APK 只包含一个 ABI 的 MDBX3 SO 并在 Android linker 上加载 contract 30","powershell -NoProfile -ExecutionPolicy Bypass -File scripts/run-mdbx3-android-loader-smoke.ps1 -Abi x86_64 -InstallAndRun","APK 构建和 Pixel Fold API 35 AVD 运行已通过；等待提交推送"
